
CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 1 (OPE) W+T1+P2

 
 

 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg.
  490	    -2.996	    -0.310	     0.167	   -0.0341	   -0.0106	    0.0141
  500	    -0.680	     0.028	     0.038	    0.0004	   -0.0060	   -0.0140
  510	    -0.654	     0.043	     0.039	    0.0004	   -0.0060	   -0.0140
  520	    -0.604	     0.070	     0.040	    0.0003	   -0.0060	   -0.0144
  528	    -0.046	     0.355	     0.048	    0.0002	   -0.0060	   -0.0151
  529	     0.015	     0.430	     0.035	    0.0000	   -0.0061	   -0.0130
  530	    -0.000	     0.520	     0.000	    0.0000	   -0.0061	   -0.0125
  540	    -0.001	     0.521	    -0.000	    0.0000	   -0.0061	   -0.0125
  550	    -1.064	     0.005	     0.496	   -0.0001	   -0.0034	   -0.0072
  560	    -1.078	    -0.009	     0.496	   -0.0001	   -0.0034	   -0.0072
  570	    -1.104	    -0.038	     0.496	    0.0005	   -0.0035	   -0.0069
  580	    -1.118	    -0.035	     0.525	   -0.0013	   -0.0039	   -0.0070
  590	    -1.125	    -0.033	     0.539	   -0.0013	   -0.0040	   -0.0070
  600	    -1.303	    -0.000	     0.790	    0.0099	   -0.0070	   -0.0075
  608	    -1.463	    -0.398	     0.949	    0.0234	   -0.0086	   -0.0079
  609	    -1.501	    -0.502	     1.035	    0.0234	   -0.0131	   -0.0065
  610	    -1.500	    -0.505	     1.135	    0.0121	   -0.0142	   -0.0059
  618	    -1.163	    -0.106	     1.542	    0.0039	   -0.0186	   -0.0077
  619	    -1.156	    -0.060	     1.548	   -0.0070	   -0.0186	   -0.0098
  620	    -1.231	    -0.010	     1.569	   -0.0030	   -0.0217	   -0.0094
  630	    -1.289	    -0.000	     1.590	   -0.0023	   -0.0218	   -0.0096
  640	    -2.152	    -0.000	     1.887	    0.0012	   -0.0236	   -0.0124
  650	    -3.088	    -0.000	     2.190	   -0.0026	   -0.0245	   -0.0152
  660	    -4.037	    -0.000	     2.495	    0.0102	   -0.0243	   -0.0181
  668	    -4.935	    -0.762	     2.791	    0.0224	   -0.0230	   -0.0209
  669	    -5.050	    -0.813	     2.788	    0.0175	   -0.0192	   -0.0232
  670	    -5.122	    -0.727	     2.723	    0.0158	   -0.0152	   -0.0261
  680	    -5.377	    -0.000	     2.255	    0.0146	   -0.0136	   -0.0109
  690	    -6.023	    -0.000	     1.288	    0.0117	   -0.0099	    0.0060
  700	    -6.955	    -0.000	     0.390	    0.0074	   -0.0053	    0.0393
  710	    -8.226	    -0.000	    -0.050	    0.0015	   -0.0004	   -0.0751
  718	    -8.246	     0.184	    -0.050	    0.0015	   -0.0003	   -0.0711
  719	    -8.317	     0.309	    -0.048	    0.0003	    0.0021	   -0.0018
  720	    -8.285	     0.255	    -0.038	   -0.0023	    0.0033	    0.0150
  730	    -8.044	     0.128	     0.000	   -0.0027	    0.0038	    0.0164
  740	    -6.957	    -0.326	    -0.000	    0.0064	    0.0056	    0.0230
  748	    -6.802	    -0.378	    -0.050	    0.0085	    0.0059	    0.0239
  749	    -6.649	    -0.461	    -0.125	    0.0281	    0.0099	    0.0344
  750	    -6.517	    -0.625	    -0.149	    0.0302	    0.0153	    0.0381
  760	    -6.477	    -0.705	    -0.128	    0.0298	    0.0154	    0.0386
  770	    -5.552	    -1.417	     0.306	   -0.0048	    0.0182	    0.0490
  778	    -5.520	    -1.407	     0.319	   -0.0053	    0.0184	    0.0494
