
CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23 
Job Name: P2603-PR-SIM-018 
Licensed To: Licensed To: Edit name in <system>\company.txt 
DISPLACEMENTS REPORT: Nodal Movements 
CASE 1 (OPE) W+T1+P2 
 
  
  
 
 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg. 
 1148	    -0.362	     1.214	    -0.083	    0.0156	    0.0367	    0.0203
 1149	    -0.105	     1.109	    -0.011	    0.0147	    0.0151	    0.0090
 1150	    -0.008	     0.865	     0.015	    0.0023	    0.0064	    0.0011
 1160	    -0.000	     0.116	     0.000	    0.0000	    0.0001	    0.0000
 1170	    -0.000	     0.000	     0.000	    0.0000	    0.0000	    0.0000
 1178	    -8.379	     0.884	    -5.111	   -0.0241	   -0.1253	   -0.0214
 1179	    -8.344	     0.874	    -5.400	   -0.0339	   -0.1246	   -0.0038
 1180	    -8.422	     0.842	    -5.678	   -0.0383	   -0.1234	    0.0219
 1190	    -8.425	     0.841	    -5.684	   -0.0383	   -0.1234	    0.0219
 1193	    -8.537	     0.802	    -5.904	   -0.0383	   -0.1234	    0.0221
 1196	    -9.090	     0.606	    -6.985	   -0.0383	   -0.1233	    0.0227
 1200	    -9.202	     0.566	    -7.205	   -0.0383	   -0.1233	    0.0228
 1210	    -9.463	     0.461	    -7.714	   -0.0381	   -0.1227	    0.0283
 1213	    -9.579	     0.409	    -7.939	   -0.0381	   -0.1227	    0.0285
 1216	    -9.784	     0.310	    -8.336	   -0.0380	   -0.1221	    0.0333
 1220	    -9.900	     0.249	    -8.560	   -0.0380	   -0.1221	    0.0335
 1230	   -10.307	    -0.000	    -9.345	   -0.0377	   -0.1207	    0.0443
 1240	   -10.886	    -0.480	   -10.442	   -0.0374	   -0.1181	    0.0589
 1250	   -11.327	    -0.926	   -11.259	   -0.0371	   -0.1158	    0.0678
 1258	   -12.401	    -2.215	   -13.175	   -0.0365	   -0.1088	    0.0811
 1259	   -12.777	    -2.511	   -13.434	   -0.0303	   -0.0794	    0.1003
 1260	   -13.115	    -2.561	   -13.304	   -0.0314	   -0.0495	    0.1029
 1270	   -15.050	     0.000	   -10.187	   -0.0893	   -0.0305	    0.1178
 1278	   -15.287	     0.790	    -9.677	   -0.1007	   -0.0282	    0.1202
 1279	   -15.169	     1.121	    -9.257	   -0.1183	   -0.0113	    0.1282
 1280	   -14.667	     1.065	    -8.734	   -0.1049	   -0.0036	    0.1437
 1288	    -5.081	    -3.003	    -2.277	   -0.0992	    0.0163	    0.1493
 1289	    -4.434	    -2.964	    -1.845	   -0.0997	    0.0174	    0.1459
 1290	    -3.990	    -2.456	    -1.585	   -0.0748	    0.0254	    0.1231
 1300	    -2.673	    -0.000	    -1.058	   -0.0362	    0.0279	    0.0784
 1308	    -0.277	     0.686	    -0.098	    0.0257	    0.0242	    0.0055
 1309	    -0.067	     0.515	    -0.016	    0.0233	    0.0083	   -0.0022
 1310	     0.000	     0.255	     0.001	    0.0009	    0.0008	   -0.0002
 1320	     0.000	     0.116	     0.000	    0.0000	    0.0000	   -0.0000
 1330	    -0.000	     0.000	     0.000	    0.0000	    0.0000	   -0.0000
 1340	     0.115	     0.721	     0.144	   -0.0723	   -0.0018	    0.0655
 1350	     0.175	     0.858	     0.208	   -0.0727	   -0.0018	    0.0658
 1359	     0.316	     1.047	     0.371	   -0.0826	   -0.0071	    0.0641
 1360	     0.377	     0.988	     0.504	   -0.0114	   -0.0116	   -0.0357
 1368	    -0.669	    -0.284	     0.208	    0.0260	    0.0087	   -0.0207
 1369	    -0.531	    -0.341	     0.150	    0.0260	    0.0112	    0.1090
 1370	    -0.309	    -0.132	     0.103	    0.0262	    0.0165	    0.1132
 1380	    -0.240	    -0.000	     0.085	    0.0254	    0.0167	    0.1057
 1388	    -0.172	     0.104	     0.066	    0.0246	    0.0167	    0.0969
 1389	    -0.037	     0.126	     0.023	    0.0189	    0.0080	    0.0035
 1390	     0.000	     0.000	     0.000	    0.0000	    0.0000	   -0.0000
 1400	     0.000	    -0.002	     0.000	    0.0000	    0.0000	   -0.0000
 1410	    -0.063	     0.389	    -0.285	   -0.0096	    0.0016	    0.0157
 1420	    -0.065	     0.374	    -0.381	   -0.0096	    0.0016	    0.0157
 1428	    -0.068	     0.355	    -0.508	   -0.0096	    0.0016	    0.0157
 1429	    -0.070	     0.359	    -0.524	   -0.0096	    0.0016	    0.0157
 1430	    -0.074	     0.373	    -0.532	   -0.0096	    0.0016	    0.0157
 1440	    -0.102	     0.486	    -0.549	   -0.0096	    0.0016	    0.0157
 1450	    -0.111	     0.520	    -0.555	   -0.0096	    0.0016	    0.0157
 1460	    -0.396	     0.694	    -0.006	   -0.0027	    0.0311	    0.0157
 1470	    -0.477	     0.674	     0.034	   -0.0027	    0.0313	    0.0157
 1480	    -0.586	     0.647	     0.097	    0.0000	    0.0390	    0.0150
 1490	    -1.478	     0.415	     0.746	    0.0218	    0.0290	    0.0212
 1498	    -1.530	     0.398	     0.769	    0.0231	    0.0244	    0.0222
 1499	    -1.602	     0.370	     0.714	    0.0219	   -0.0558	    0.0353
 1500	    -1.502	     0.381	     0.577	    0.0251	   -0.1291	    0.0393
 1508	    -0.395	     0.586	     0.071	    0.0225	   -0.1309	    0.0585
 1509	    -0.215	     0.568	    -0.023	    0.0036	   -0.0788	    0.0453
 1510	    -0.124	     0.478	    -0.053	   -0.0098	   -0.0555	    0.0268
 1520	    -0.000	     0.070	    -0.000	   -0.0002	   -0.0004	    0.0004
 1530	    -0.000	    -0.000	    -0.000	   -0.0000	   -0.0000	    0.0000
 1540	    -8.191	     0.547	    -2.451	   -0.0233	   -0.1269	   -0.0366
 1570	    -7.735	     0.876	    -3.384	   -0.0237	   -0.1266	   -0.0341
 1580	    -7.673	     0.990	    -3.428	   -0.0237	   -0.1266	   -0.0341
 1590	   -20.053	    -4.720	     0.443	   -0.1195	    0.0839	    0.0817
 1600	   -20.201	    -4.605	     0.226	   -0.1195	    0.0839	    0.0817
 1610	    -6.740	     0.261	    -1.401	   -0.0221	   -0.1271	   -0.0412
 1620	    -6.694	     0.331	    -1.426	   -0.0221	   -0.1271	   -0.0412
 1630	    -1.459	     3.754	    -0.443	   -0.0072	    0.0028	    0.0464
 1640	   -12.021	    -0.386	    -9.029	   -0.0204	   -0.0970	    0.0626
 1650	   -11.015	    -0.342	   -10.523	   -0.0374	   -0.1181	    0.0589
 1660	    -0.602	     0.713	     0.097	    0.0000	    0.0390	    0.0150
 1670	   -11.471	    -0.791	   -11.338	   -0.0371	   -0.1158	    0.0678
 1680	   -12.474	    -0.854	    -9.698	   -0.0229	   -0.0935	    0.0697
 1690	     0.000	     0.050	     0.000	    0.0000	    0.0000	    0.0000
 1700	     0.000	    -0.021	     0.000	    0.0000	    0.0000	    0.0000
 1710	     0.000	    -0.434	     0.000	    0.0000	    0.0000	    0.0000
 1720	     0.000	    -0.048	     0.000	    0.0000	    0.0000	    0.0000
 1730	     0.000	     0.022	     0.000	    0.0000	    0.0000	    0.0000





CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 9 (EXP) L9=L1-L3

 
 

 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg.

   10	    -0.000	     0.000	    -0.000	   -0.0000	   -0.0000	    0.0000
   20	    -0.000	    -0.101	    -0.000	   -0.0000	   -0.0001	    0.0001
   28	    -0.243	    -1.510	    -0.100	   -0.0060	   -0.0157	    0.0124
   29	    -0.180	    -1.722	    -0.167	   -0.0154	   -0.0232	   -0.0038
   30	     0.045	    -1.750	    -0.324	   -0.0229	   -0.0446	   -0.0258
   40	     4.149	     0.000	    -3.772	   -0.0204	   -0.0347	   -0.0053
   50	     5.285	    -0.127	    -4.327	   -0.0197	   -0.0179	    0.0208
   53	     5.383	    -0.164	    -4.358	   -0.0196	   -0.0178	    0.0210
   56	     5.867	    -0.352	    -4.512	   -0.0196	   -0.0173	    0.0220
   60	     5.966	    -0.391	    -4.543	   -0.0196	   -0.0171	    0.0222
   70	     6.161	    -0.482	    -4.597	   -0.0195	   -0.0130	    0.0297
   80	     5.903	     0.000	    -5.462	   -0.0423	   -0.0196	    0.0399
   88	     5.634	     0.620	    -6.139	   -0.0551	   -0.0240	    0.0478
   89	     5.467	     0.861	    -6.357	   -0.0762	   -0.0389	    0.0546
   90	     5.158	     1.125	    -6.580	   -0.0877	   -0.0532	    0.0673
  100	     4.605	     1.507	    -6.889	   -0.0877	   -0.0548	    0.0687
  109	     4.370	     1.491	    -6.985	   -0.0789	   -0.0614	    0.0722
  110	     4.156	     1.387	    -7.146	   -0.0718	   -0.0638	    0.0723
  118	     1.681	    -0.528	    -9.573	   -0.0682	   -0.0762	    0.0691
  119	     1.225	    -0.664	    -9.985	   -0.0583	   -0.0774	    0.0634
  120	     0.710	    -0.557	   -10.344	   -0.0281	   -0.0905	    0.0657
  130	     0.205	    -0.406	   -10.650	   -0.0240	   -0.0918	    0.0643
  140	    -3.489	     0.000	   -12.796	   -0.0023	   -0.0972	    0.0544
  150	    -7.262	    -0.002	   -14.942	    0.0011	   -0.0959	    0.0445
  160	   -10.857	     0.000	   -17.088	   -0.0026	   -0.0880	    0.0346
  168	   -14.506	     0.254	   -19.609	   -0.0069	   -0.0703	    0.0229
  169	   -14.638	     0.251	   -19.952	   -0.0107	   -0.0289	    0.0193
  170	   -14.406	     0.211	   -20.091	   -0.0146	    0.0133	    0.0077
  180	   -12.238	    -0.000	   -19.193	   -0.0129	    0.0321	    0.0043
  190	    -7.687	     0.000	   -15.169	   -0.0095	    0.0639	   -0.0087
  200	    -1.117	    -0.000	    -5.700	   -0.0046	    0.0918	    0.0366
  208	     1.799	    -2.909	    -0.691	   -0.0025	    0.0973	    0.0627
  209	     2.167	    -3.074	    -0.219	   -0.0032	    0.1007	    0.0509
  210	     2.473	    -2.903	    -0.009	   -0.0019	    0.1009	    0.0340
  220	     2.629	    -2.647	     0.000	   -0.0017	    0.1013	    0.0331
  230	     3.947	    -0.245	     0.000	    0.0024	    0.1043	    0.0291
  238	     4.038	    -0.073	    -0.008	    0.0029	    0.1046	    0.0291
  239	     4.112	     0.021	    -0.029	    0.0073	    0.1048	    0.0298
  240	     4.231	     0.104	    -0.081	    0.0116	    0.1054	    0.0310
  248	     4.621	     0.309	    -0.268	    0.0123	    0.1057	    0.0312
  249	     5.119	     0.427	    -0.254	    0.0183	    0.1076	    0.0373
  250	     5.549	     0.321	     0.173	    0.0185	    0.1105	    0.0371
  260	     6.031	     0.000	     1.139	    0.0193	    0.1107	    0.0356
  270	     6.249	    -0.617	    -3.688	    0.0017	    0.0009	    0.0405
  280	     6.248	    -0.614	    -3.586	    0.0018	    0.0010	    0.0406
  290	     6.238	    -0.598	    -3.378	    0.0058	    0.0033	    0.0431
  300	     6.149	    -0.492	    -2.760	    0.0108	    0.0120	    0.0557
  310	     5.949	    -0.347	    -2.072	    0.0117	    0.0192	    0.0699
  313	     5.913	    -0.325	    -1.971	    0.0117	    0.0193	    0.0700
  316	     5.728	    -0.225	    -1.491	    0.0107	    0.0226	    0.0799
  320	     5.687	    -0.205	    -1.389	    0.0106	    0.0226	    0.0800
  330	     5.568	    -0.154	    -1.110	    0.0093	    0.0238	    0.0857
  333	     5.525	    -0.137	    -1.011	    0.0093	    0.0239	    0.0859
  336	     5.300	    -0.051	    -0.491	    0.0090	    0.0239	    0.0866
  340	     5.257	    -0.035	    -0.392	    0.0089	    0.0239	    0.0867
  350	     5.152	    -0.000	    -0.151	    0.0065	    0.0237	    0.0917
  358	     5.063	     0.024	     0.057	    0.0063	    0.0237	    0.0912
  359	     4.779	    -0.063	     0.324	    0.0022	    0.0216	    0.0894
  360	     4.332	    -0.321	     0.432	   -0.0016	    0.0196	    0.0834
  370	     4.327	    -0.325	     0.432	   -0.0016	    0.0196	    0.0834
  380	     4.174	    -0.426	     0.429	   -0.0016	    0.0196	    0.0834
  390	     3.879	    -0.622	     0.423	   -0.0017	    0.0197	    0.0832
  398	     1.886	    -1.952	     0.376	   -0.0021	    0.0199	    0.0825
  399	     1.779	    -2.016	     0.368	   -0.0023	    0.0199	    0.0821
  400	     1.671	    -2.066	     0.349	   -0.0025	    0.0200	    0.0817
  408	     0.221	    -2.638	     0.028	   -0.0026	    0.0200	    0.0815
  409	     0.112	    -2.688	     0.009	   -0.0026	    0.0201	    0.0815
  410	     0.007	    -2.752	     0.000	   -0.0026	    0.0201	    0.0815
  420	    -0.000	    -2.757	     0.000	   -0.0026	    0.0201	    0.0815
  430	     6.410	    -0.239	     1.899	    0.0200	    0.1107	    0.0334
  440	     6.651	    -0.382	     2.382	    0.0204	    0.1105	    0.0316
  450	     6.888	    -0.514	     2.855	    0.0208	    0.1103	    0.0295
  460	     7.078	    -0.613	     3.234	    0.0211	    0.1101	    0.0276
  470	     7.179	    -0.664	     3.435	    0.0211	    0.1101	    0.0275
  480	     7.363	    -0.720	     3.767	    0.0215	    0.1096	    0.0245
  490	     7.473	    -0.766	     3.985	    0.0219	    0.1092	    0.0215
  500	     4.799	    -0.208	    -0.131	    0.0046	    0.0233	    0.0952
  510	     4.624	    -0.310	    -0.122	    0.0045	    0.0233	    0.0953
  520	     4.281	    -0.505	    -0.109	    0.0033	    0.0230	    0.0975
  528	     0.445	    -2.550	    -0.113	   -0.0020	    0.0210	    0.1072
  529	    -0.048	    -3.122	    -0.089	   -0.0056	    0.0193	    0.1123
  530	     0.000	    -3.888	     0.000	   -0.0064	    0.0179	    0.1131
  540	     0.004	    -3.897	     0.001	   -0.0064	    0.0179	    0.1131
  550	     6.398	    -0.390	    -3.402	    0.0070	    0.0019	    0.0417
  560	     6.474	    -0.289	    -3.415	    0.0070	    0.0018	    0.0417
  570	     6.629	    -0.081	    -3.443	    0.0082	    0.0004	    0.0403
  580	     6.629	    -0.118	    -3.652	    0.0091	   -0.0005	    0.0405
  590	     6.628	    -0.135	    -3.753	    0.0091	   -0.0005	    0.0405
  600	     6.502	     0.000	    -5.518	   -0.0330	   -0.0069	    0.0418
  608	     6.331	     1.090	    -6.641	   -0.0648	   -0.0097	    0.0426
  609	     6.179	     1.368	    -7.069	   -0.0917	   -0.0178	    0.0457
  610	     5.916	     1.291	    -7.613	   -0.0906	   -0.0204	    0.0495
  618	     3.429	    -1.504	   -12.159	   -0.0890	   -0.0267	    0.0472
  619	     3.172	    -1.591	   -12.683	   -0.0847	   -0.0259	    0.0417
  620	     2.965	    -1.359	   -13.095	   -0.0523	   -0.0289	    0.0413
  630	     2.887	    -1.219	   -13.242	   -0.0502	   -0.0291	    0.0409
  640	     1.756	    -0.000	   -15.331	   -0.0129	   -0.0301	    0.0349
  650	     0.623	     0.000	   -17.473	    0.0035	   -0.0277	    0.0287
  660	    -0.346	    -0.000	   -19.619	   -0.0024	   -0.0216	    0.0225
  668	    -0.995	     0.131	   -21.708	   -0.0042	   -0.0121	    0.0165
  669	    -0.890	     0.130	   -21.960	   -0.0087	    0.0127	    0.0135
  670	    -0.588	     0.107	   -21.945	   -0.0119	    0.0378	    0.0049
  680	     1.211	    -0.000	   -20.563	   -0.0126	    0.0467	    0.0019
  690	     5.765	    -0.000	   -16.022	   -0.0143	    0.0616	   -0.0007
  700	    12.334	    -0.000	    -8.357	   -0.0168	    0.0635	    0.0008
  710	    21.291	    -0.000	    -0.270	   -0.0201	    0.0291	   -0.0030
  718	    21.436	     0.007	    -0.195	   -0.0202	    0.0282	   -0.0032
  719	    21.673	     0.157	    -0.090	   -0.0119	    0.0042	   -0.0175
  720	    21.650	     0.464	    -0.059	   -0.0038	   -0.0029	   -0.0373
  730	    21.048	     1.311	     0.000	   -0.0037	   -0.0100	   -0.0409
  740	    18.515	     4.385	     0.000	    0.0071	   -0.0359	   -0.0488
  748	    18.191	     4.749	    -0.054	    0.0101	   -0.0390	   -0.0493
  749	    17.852	     4.930	    -0.309	    0.0565	   -0.0476	   -0.0618
  750	    17.440	     4.653	    -0.711	    0.1033	   -0.0728	   -0.0712
  760	    17.248	     4.380	    -0.855	    0.1046	   -0.0737	   -0.0714
  770	    12.700	    -1.558	    -3.922	    0.0974	   -0.0887	   -0.0746
  778	    12.547	    -1.725	    -4.017	    0.0961	   -0.0891	   -0.0747
  779	    11.942	    -1.924	    -4.379	    0.0294	   -0.1035	   -0.0802
  780	    11.339	    -1.677	    -4.457	   -0.0370	   -0.1082	   -0.0870
  790	    11.333	    -1.673	    -4.455	   -0.0371	   -0.1082	   -0.0870
  800	    11.174	    -1.572	    -4.386	   -0.0372	   -0.1082	   -0.0870
  808	     8.055	     0.408	    -2.754	   -0.0483	   -0.1167	   -0.0863
  809	     7.418	     0.611	    -2.459	   -0.0412	   -0.1160	   -0.0844
  810	     6.681	     0.568	    -2.176	   -0.0391	   -0.1182	   -0.0845
  820	     4.433	     0.000	    -1.361	   -0.0382	   -0.1164	   -0.0777
  828	     0.685	    -0.720	    -0.128	   -0.0383	   -0.0988	   -0.0642
  829	     0.186	    -0.669	    -0.023	   -0.0282	   -0.0328	   -0.0367
  830	     0.004	    -0.415	    -0.006	   -0.0015	   -0.0067	   -0.0015
  840	     0.000	    -0.122	    -0.000	   -0.0001	   -0.0002	   -0.0000
  850	     0.000	    -0.000	    -0.000	   -0.0000	   -0.0000	   -0.0000
  860	     6.626	    -0.000	    -2.875	    0.0053	    0.0001	    0.0354
  870	     6.670	     0.000	    -0.419	    0.0023	   -0.0022	    0.0139
  878	     6.710	     0.073	     0.409	    0.0061	   -0.0032	    0.0066
  879	     6.729	     0.224	     0.650	    0.0107	    0.0011	    0.0006
  880	     6.670	     0.505	     0.708	    0.0097	    0.0087	   -0.0234
  888	     6.314	     1.264	     0.577	    0.0095	    0.0075	   -0.0285
  889	     6.005	     1.429	     0.523	    0.0074	    0.0059	   -0.0597
  890	     5.606	     1.169	     0.494	    0.0057	    0.0013	   -0.0967
  900	     4.494	    -0.899	     0.480	    0.0057	    0.0002	   -0.1107
  908	     3.090	    -3.896	     0.487	    0.0056	   -0.0006	   -0.1192
  909	     2.631	    -4.295	     0.482	    0.0053	   -0.0015	   -0.0907
  910	     2.196	    -4.187	     0.460	    0.0053	   -0.0017	   -0.0491
  920	     1.387	    -3.176	     0.362	    0.0056	   -0.0019	   -0.0392
  930	     0.716	    -2.083	     0.245	    0.0063	   -0.0022	   -0.0284
  940	     0.664	    -1.982	     0.234	    0.0063	   -0.0022	   -0.0283
  950	     0.662	    -1.977	     0.233	    0.0063	   -0.0022	   -0.0283
  960	     0.610	    -1.876	     0.222	    0.0063	   -0.0022	   -0.0282
  970	     0.125	    -0.667	     0.070	    0.0076	   -0.0024	   -0.0160
  980	     0.048	    -0.374	     0.029	    0.0083	   -0.0013	   -0.0135
  990	     0.023	    -0.260	     0.014	    0.0067	   -0.0011	   -0.0108
 1000	     0.000	    -0.086	     0.000	    0.0004	   -0.0001	   -0.0006
 1010	     0.000	    -0.000	    -0.000	    0.0000	   -0.0000	   -0.0000
 1018	     7.938	    -0.887	     4.136	    0.0238	    0.1081	    0.0172
 1019	     8.154	    -0.925	     4.252	    0.0149	    0.1002	   -0.0002
 1020	     8.306	    -0.904	     4.425	    0.0109	    0.0922	   -0.0271
 1030	     8.309	    -0.902	     4.430	    0.0110	    0.0922	   -0.0272
 1033	     8.407	    -0.854	     4.594	    0.0110	    0.0922	   -0.0273
 1036	     8.892	    -0.612	     5.401	    0.0112	    0.0920	   -0.0279
 1040	     8.990	    -0.563	     5.565	    0.0112	    0.0920	   -0.0280
 1050	     9.219	    -0.438	     5.943	    0.0126	    0.0906	   -0.0327
 1053	     9.320	    -0.378	     6.109	    0.0126	    0.0906	   -0.0328
 1056	     9.421	    -0.316	     6.274	    0.0132	    0.0899	   -0.0350
 1060	     9.522	    -0.251	     6.439	    0.0132	    0.0899	   -0.0351
 1070	     9.878	     0.000	     7.011	    0.0153	    0.0875	   -0.0432
 1080	    10.385	     0.450	     7.797	    0.0183	    0.0837	   -0.0537
 1090	    10.771	     0.849	     8.371	    0.0205	    0.0806	   -0.0598
 1098	    11.350	     1.514	     9.190	    0.0239	    0.0756	   -0.0659
 1099	    11.643	     1.759	     9.333	    0.0224	    0.0442	   -0.0791
 1100	    11.834	     1.778	     9.177	    0.0365	    0.0131	   -0.0770
 1110	    12.024	    -0.413	     6.933	    0.0811	   -0.0020	   -0.0894
 1118	    11.986	    -1.444	     6.297	    0.0932	   -0.0044	   -0.0929
 1119	    11.797	    -1.732	     5.933	    0.0988	   -0.0169	   -0.0993
 1120	    11.366	    -1.673	     5.501	    0.0837	   -0.0231	   -0.1129
 1128	     4.998	     1.363	     1.227	    0.0736	   -0.0333	   -0.1147
 1129	     4.483	     1.373	     0.937	    0.0652	   -0.0341	   -0.1050
 1130	     4.085	     1.062	     0.795	    0.0402	   -0.0386	   -0.0812
 1140	     3.170	     0.000	     0.638	    0.0252	   -0.0393	   -0.0639
 1148	     0.318	    -1.061	     0.075	   -0.0133	   -0.0322	   -0.0181
 1149	     0.093	    -0.970	     0.011	   -0.0125	   -0.0132	   -0.0081
 1150	     0.008	    -0.758	    -0.013	   -0.0020	   -0.0056	   -0.0010
 1160	     0.000	    -0.101	    -0.000	   -0.0000	   -0.0001	   -0.0000
 1170	     0.000	    -0.000	    -0.000	   -0.0000	   -0.0000	   -0.0000
 1178	     7.319	    -0.763	     4.452	    0.0211	    0.1092	    0.0185
 1179	     7.289	    -0.754	     4.704	    0.0295	    0.1088	    0.0034
 1180	     7.357	    -0.727	     4.947	    0.0333	    0.1079	   -0.0188
 1190	     7.360	    -0.726	     4.953	    0.0333	    0.1079	   -0.0189
 1193	     7.459	    -0.692	     5.145	    0.0333	    0.1079	   -0.0190
 1196	     7.943	    -0.524	     6.090	    0.0333	    0.1079	   -0.0195
 1200	     8.041	    -0.489	     6.282	    0.0333	    0.1079	   -0.0196
 1210	     8.270	    -0.399	     6.728	    0.0331	    0.1074	   -0.0244
 1213	     8.371	    -0.354	     6.924	    0.0331	    0.1073	   -0.0246
 1216	     8.551	    -0.268	     7.272	    0.0330	    0.1069	   -0.0288
 1220	     8.652	    -0.216	     7.468	    0.0330	    0.1068	   -0.0290
 1230	     9.009	     0.000	     8.154	    0.0328	    0.1056	   -0.0385
 1240	     9.516	     0.417	     9.115	    0.0325	    0.1034	   -0.0513
 1250	     9.902	     0.805	     9.830	    0.0323	    0.1014	   -0.0590
 1258	    10.842	     1.929	    11.507	    0.0317	    0.0953	   -0.0708
 1259	    11.172	     2.187	    11.735	    0.0263	    0.0696	   -0.0875
 1260	    11.469	     2.232	    11.622	    0.0272	    0.0435	   -0.0898
 1270	    13.171	    -0.000	     8.891	    0.0780	    0.0268	   -0.1029
 1278	    13.380	    -0.690	     8.445	    0.0880	    0.0249	   -0.1050
 1279	    13.277	    -0.980	     8.077	    0.1033	    0.0100	   -0.1120
 1280	    12.838	    -0.931	     7.620	    0.0915	    0.0032	   -0.1257
 1288	     4.454	     2.632	     1.988	    0.0866	   -0.0143	   -0.1306
 1289	     3.888	     2.598	     1.611	    0.0872	   -0.0153	   -0.1278
 1290	     3.499	     2.153	     1.384	    0.0655	   -0.0223	   -0.1080
 1300	     2.344	     0.000	     0.923	    0.0317	   -0.0245	   -0.0688
 1308	     0.243	    -0.601	     0.085	   -0.0226	   -0.0213	   -0.0049
 1309	     0.058	    -0.451	     0.014	   -0.0204	   -0.0073	    0.0019
 1310	    -0.000	    -0.223	    -0.001	   -0.0008	   -0.0007	    0.0002
 1320	    -0.000	    -0.101	    -0.000	   -0.0000	   -0.0000	    0.0000
 1330	     0.000	    -0.000	    -0.000	   -0.0000	   -0.0000	    0.0000
 1340	    -0.101	    -0.631	    -0.127	    0.0633	    0.0017	   -0.0572
 1350	    -0.154	    -0.751	    -0.183	    0.0637	    0.0017	   -0.0575
 1359	    -0.277	    -0.916	    -0.325	    0.0725	    0.0062	   -0.0561
 1360	    -0.330	    -0.865	    -0.443	    0.0100	    0.0102	    0.0313
 1368	     0.586	     0.249	    -0.182	   -0.0228	   -0.0077	    0.0181
 1369	     0.465	     0.299	    -0.132	   -0.0228	   -0.0098	   -0.0956
 1370	     0.270	     0.116	    -0.090	   -0.0230	   -0.0144	   -0.0992
 1380	     0.210	     0.000	    -0.074	   -0.0223	   -0.0146	   -0.0927
 1388	     0.150	    -0.091	    -0.058	   -0.0216	   -0.0146	   -0.0850
 1389	     0.032	    -0.110	    -0.020	   -0.0165	   -0.0070	   -0.0030
 1390	    -0.000	    -0.000	    -0.000	   -0.0000	   -0.0000	    0.0000
 1400	    -0.000	     0.001	    -0.000	   -0.0000	   -0.0000	    0.0000
 1410	     0.054	    -0.341	     0.250	    0.0083	   -0.0013	   -0.0135
 1420	     0.056	    -0.328	     0.334	    0.0083	   -0.0013	   -0.0135
 1428	     0.058	    -0.312	     0.445	    0.0083	   -0.0013	   -0.0135
 1429	     0.060	    -0.315	     0.458	    0.0083	   -0.0013	   -0.0135
 1430	     0.063	    -0.327	     0.466	    0.0083	   -0.0013	   -0.0135
 1440	     0.087	    -0.427	     0.481	    0.0083	   -0.0013	   -0.0135
 1450	     0.095	    -0.457	     0.485	    0.0083	   -0.0013	   -0.0135
 1460	     0.344	    -0.612	     0.005	    0.0029	   -0.0269	   -0.0120
 1470	     0.415	    -0.597	    -0.029	    0.0029	   -0.0271	   -0.0120
 1480	     0.511	    -0.577	    -0.084	    0.0008	   -0.0338	   -0.0111
 1490	     1.292	    -0.415	    -0.646	   -0.0160	   -0.0250	   -0.0157
 1498	     1.338	    -0.402	    -0.666	   -0.0170	   -0.0210	   -0.0167
 1499	     1.400	    -0.379	    -0.617	   -0.0153	    0.0491	   -0.0293
 1500	     1.313	    -0.383	    -0.497	   -0.0169	    0.1130	   -0.0333
 1508	     0.344	    -0.521	    -0.054	   -0.0147	    0.1145	   -0.0505
 1509	     0.187	    -0.499	     0.026	   -0.0001	    0.0689	   -0.0390
 1510	     0.108	    -0.419	     0.049	    0.0096	    0.0487	   -0.0232
 1520	     0.000	    -0.062	     0.000	    0.0002	    0.0003	   -0.0003
 1530	     0.000	     0.000	     0.000	    0.0000	    0.0000	   -0.0000
 1540	     7.151	    -0.474	     2.132	    0.0204	    0.1105	    0.0316
 1570	     6.756	    -0.761	     2.947	    0.0208	    0.1103	    0.0295
 1580	     6.702	    -0.861	     2.985	    0.0208	    0.1103	    0.0295
 1590	    17.567	     4.133	    -0.388	    0.1046	   -0.0737	   -0.0714
 1600	    17.697	     4.033	    -0.198	    0.1046	   -0.0737	   -0.0714
 1610	     5.884	    -0.229	     1.219	    0.0193	    0.1107	    0.0356
 1620	     5.844	    -0.290	     1.241	    0.0193	    0.1107	    0.0356
 1630	     1.233	    -3.285	     0.367	    0.0056	   -0.0019	   -0.0392
 1640	    10.503	     0.329	     7.837	    0.0183	    0.0837	   -0.0537
 1650	     9.628	     0.296	     9.185	    0.0325	    0.1034	   -0.0513
 1660	     0.522	    -0.635	    -0.083	    0.0008	   -0.0338	   -0.0111
 1670	    10.027	     0.688	     9.899	    0.0323	    0.1014	   -0.0590
 1680	    10.898	     0.731	     8.415	    0.0205	    0.0806	   -0.0598
 1690	     0.000	    -0.043	     0.000	    0.0000	    0.0000	    0.0000
 1700	     0.000	     0.018	     0.000	    0.0000	    0.0000	    0.0000
 1710	     0.000	     0.380	     0.000	    0.0000	    0.0000	    0.0000
 1720	     0.000	     0.042	     0.000	    0.0000	    0.0000	    0.0000
 1730	     0.000	    -0.019	     0.000	    0.0000	    0.0000	    0.0000





